"Task ID","Difficulty Level","Prompt","Canonical Solution"
"53.2","Medium general prompt","Get the hostnames hosted by Google that are in the top 50k.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)-[:PART_OF]-(pfx:Prefix)-[:ORIGINATE]-(google:AS {asn:15169}) WHERE r.rank < 50000 RETURN dn"
"54.1","Medium technical prompt","From the top 10k HostName nodes select HostName nodes that ends with '.jp' and return the corresponding IP nodes, Prefix nodes, and AS nodes.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.jp' AND r.rank<10000 RETURN ip, pfx, net"
"54.2","Medium general prompt","Give the IP, prefix, and AS nodes corresponding to the top 10k hostnames in Japan.","MATCH (:Ranking)-[r:RANK]-(dn:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.jp' AND r.rank<10000 RETURN ip, pfx, net"
"55.1","Medium technical prompt","Select from Ranking with name 'IHR country ranking: Total AS (IR)' the top 20 Ases, return the Ases and their PEER_WITH relationships.","MATCH (a:AS)-[ra:RANK]->(:Ranking {name: 'IHR country ranking: Total AS (IR)'})<-[rb:RANK]-(b:AS)-[p:PEERS_WITH]-(a) WHERE ra.rank < 20 AND rb.rank < 20 AND p.rel = 0 RETURN a, p, b"
"55.2","Medium general prompt","Retrieve the AS topology for IHR's top 20 ASes in Iran.","MATCH (a:AS)-[ra:RANK]->(:Ranking {name: 'IHR country ranking: Total AS (IR)'})<-[rb:RANK]-(b:AS)-[p:PEERS_WITH]-(a) WHERE ra.rank < 20 AND rb.rank < 20 AND p.rel = 0 RETURN a, p, b"
"56.1","Hard technical prompt","Select the  AS nodes that AS node with asn 2501 depends on and return the shortest path using PEERS_WITH relationships to these AS2501 to these AS nodes.","MATCH (a:AS {asn:2501})-[h:DEPENDS_ON {af:4}]->(d:AS) WITH a, COLLECT(DISTINCT d) AS dependencies UNWIND dependencies as d MATCH p = allShortestPaths((a)-[:PEERS_WITH*]-(d)) WHERE a.asn <> d.asn AND all(r IN relationships(p) WHERE r.af = 4) AND all(n IN nodes(p) WHERE n IN dependencies) RETURN p"
"56.2","Hard general prompt","Retrieve the peerings between AS2501 and its dependencies.","MATCH (a:AS {asn:2501})-[h:DEPENDS_ON {af:4}]->(d:AS) WITH a, COLLECT(DISTINCT d) AS dependencies UNWIND dependencies as d MATCH p = allShortestPaths((a)-[:PEERS_WITH*]-(d)) WHERE a.asn <> d.asn AND all(r IN relationships(p) WHERE r.af = 4) AND all(n IN nodes(p) WHERE n IN dependencies) RETURN p"
"57.1","Easy technical prompt","Find the Country of IXPs where AS node with asn 2497 is member of. Return the country and ixp nodes.","MATCH (iij:AS {asn:2497})-[:MEMBER_OF]-(ix:IXP)--(cc:Country) RETURN ix, cc"
"57.2","Easy general prompt","Find the IXPs and corresponding countries where AS2497 is member of.","MATCH (iij:AS {asn:2497})-[:MEMBER_OF]-(ix:IXP)--(cc:Country) RETURN ix, cc"
"58.1","Easy technical prompt","Find the Country of the Facility where AS node with asn 2497 is located. Return both the Facility and Country nodes.","MATCH (iij:AS {asn:2497})--(ix:Facility)--(cc:Country) RETURN ix, cc"
"58.2","Easy general prompt","Find the co-location facilities and corresponding countries where AS2497 is located.","MATCH (iij:AS {asn:2497})--(ix:Facility)--(cc:Country) RETURN ix, cc"
"59.1","Easy technical prompt","Find the Country of the Prefixes originated by AS node with asn 2497. Return the country and prefixes nodes.","MATCH (iij:AS {asn:2497})-[:ORIGINATE]-(pfx:Prefix)--(cc:Country) RETURN pfx, cc"
"59.2","Easy general prompt","Get the geolocation for each pefix announced by AS2497.","MATCH (iij:AS {asn:2497})-[:ORIGINATE]-(pfx:Prefix)--(cc:Country) RETURN pfx, cc"
"60.1","Medium technical prompt","Find the Prefix nodes that originate from ASes that depends on AS node with asn 2497 and the corresponding Country nodes.","MATCH (iij:AS {asn:2497})<-[:DEPENDS_ON]-(customer:AS)-[:ORIGINATE]-(pfx:Prefix)--(cc:Country) RETURN pfx, cc"
"60.2","Medium general prompt","Give me the geolocation for each pefixes announced by AS2497's dependencies.","MATCH (iij:AS {asn:2497})<-[:DEPENDS_ON]-(customer:AS)-[:ORIGINATE]-(pfx:Prefix)--(cc:Country) RETURN pfx, cc"
"61.1","Medium technical prompt","Find the Country nodes of the Prefix nodes originated by the AS that depends on the AS node with asn 2497. Return the country_code value of these Country nodes.","MATCH (iij:AS {asn:2497})<-[dep:DEPENDS_ON]-(customer:AS)-[:ORIGINATE]-(pfx:Prefix)--(cc:Country) RETURN cc.country_code, count(DISTINCT customer) AS nb_dep ORDER BY nb_dep DESC"
"61.2","Medium general prompt","Return the country code corresponding to prefixes announced by ASes that depends on AS2497.","MATCH (iij:AS {asn:2497})<-[dep:DEPENDS_ON]-(customer:AS)-[:ORIGINATE]-(pfx:Prefix)--(cc:Country) RETURN cc.country_code, count(DISTINCT customer) AS nb_dep ORDER BY nb_dep DESC"
"62.1","Medium technical prompt","Find the DomainName nodes that are ranked in the top 10k and have Prefix nodes originating from the AS node with asn 2497. Return the DomainName nodes, the Prefix nodes and the IP nodes.","MATCH (n:AS {asn:2497})-[:ORIGINATE]-(p:Prefix)--(i:IP)-[:RESOLVES_TO]-(:HostName)--(d:DomainName)-[r:RANK]-(:Ranking) WHERE r.rank<10000 RETURN n,p,i,d"
"62.2","Medium general prompt","Find the domain name, IP address, and prefix corresponding to the top 10k domain names hosted by AS2497.","MATCH (n:AS {asn:2497})-[:ORIGINATE]-(p:Prefix)--(i:IP)-[:RESOLVES_TO]-(:HostName)--(d:DomainName)-[r:RANK]-(:Ranking) WHERE r.rank<10000 RETURN n,p,i,d"
"63.1","Medium technical prompt","Find the DomainName nodes that are ranked in the top 10k that resolves to IP addresses that are part of Prefix nodes originated by or depending on the AS node with asn 2497. Return the DomainName nodes, the Prefix nodes and the IP nodes.","MATCH (n:AS {asn:2497})--(p:Prefix)--(i:IP)--(:HostName)--(d:DomainName)-[r:RANK]-(:Ranking) WHERE r.rank<10000 RETURN n,p,i,d"
"63.2","Medium general prompt","Find the domain name, IP address, and prefix corresponding to the top 10k domain names related to AS2497.","MATCH (n:AS {asn:2497})--(p:Prefix)--(i:IP)--(:HostName)--(d:DomainName)-[r:RANK]-(:Ranking) WHERE r.rank<10000 RETURN n,p,i,d"
"64.1","Hard technical prompt","Find AS nodes that peer with both the AS node with asn 2497 and another transit AS. Both PEERS_WITH relationship should have the property rel=1. Retrun the other transit node, its name given by the RIPE NCC, and the number of Ases in common with AS2497.","MATCH (comp:AS)-[:PEERS_WITH {rel:1}]->(customer:AS)<-[:PEERS_WITH {rel:1}]-(iij:AS {asn:2497}) WITH comp, customer OPTIONAL MATCH (comp)-[:NAME {reference_org:'RIPE NCC'}]-(comp_name:Name) RETURN comp, comp_name, count(DISTINCT customer) AS nb_customer ORDER BY nb_customer DESC"
"64.2","Hard general prompt","Find the main competitors of AS2497.","MATCH (comp:AS)-[:PEERS_WITH {rel:1}]->(customer:AS)<-[:PEERS_WITH {rel:1}]-(iij:AS {asn:2497}) WITH comp, customer OPTIONAL MATCH (comp)-[:NAME {reference_org:'RIPE NCC'}]-(comp_name:Name) RETURN comp, comp_name, count(DISTINCT customer) AS nb_customer ORDER BY nb_customer DESC"
"65.1","Medium technical prompt","Find DomainName nodes that have a rank value below 10k and a name ending with '.jp', then the corresponding HostNames, IP address, Prefix, and originating AS. Return the distinct DomainName’s name and correspoding AS's asn.","MATCH (:Ranking)-[r:RANK]-(dn:DomainName)--(:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.jp' AND r.rank<10000 RETURN DISTINCT dn.name, net.asn"
"65.2","Medium general prompt","Retrieve the top 10k Japanese domain names and the corresponding ASN of the AS hosting these domains.","MATCH (:Ranking)-[r:RANK]-(dn:DomainName)--(:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.jp' AND r.rank<10000 RETURN DISTINCT dn.name, net.asn"
"66.1","Hard technical prompt","Find DomainName with the name property that ends with '.jp' and that are ranked in the top 100k. For these domain names find the corresponding hostnames, IP addresses, prefixes and originating Ases, and the name of Ases given by the 'RIPE NCC'. Return the asn, AS name, and total number of distinct domain names.","MATCH (:Ranking)-[r:RANK]-(dn:DomainName)--(:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.jp' AND r.rank<100000 WITH net, dn  OPTIONAL MATCH (net:AS)-[:NAME {reference_org:'RIPE NCC'}]-(net_name:Name) RETURN net.asn, net_name.name, count(DISTINCT dn) AS nb_domain_name ORDER BY nb_domain_name DESC"
"66.2","Hard general prompt","Find Ases hosting '.jp' domain names that are in the top 100k. Return the ASN, name of the AS, and the unique number of corresponding domain names.","MATCH (:Ranking)-[r:RANK]-(dn:DomainName)--(:HostName)--(ip:IP)--(pfx:Prefix)-[:ORIGINATE]-(net:AS) WHERE dn.name ENDS WITH '.jp' AND r.rank<100000 WITH net, dn  OPTIONAL MATCH (net:AS)-[:NAME {reference_org:'RIPE NCC'}]-(net_name:Name) RETURN net.asn, net_name.name, count(DISTINCT dn) AS nb_domain_name ORDER BY nb_domain_name DESC"
"67.1","Easy technical prompt","Find all nodes that are connected to a Name node with a name containing the word 'crimea'.","MATCH (x)--(n:Name) WHERE toLower(n.name) CONTAINS 'crimea' RETURN x"
"67.2","Easy general prompt","Find all nodes that have the word 'crimea' in their name.","MATCH (x)--(n:Name) WHERE toLower(n.name) CONTAINS 'crimea' RETURN x"
"68.1","Medium technical prompt","Find the DomainName nodes that are ranked in the top 1k and are connected to Hostnames which are resolving to IP addresses that are part of Prefixed originating from the AS node with asn 12389. Return the distinct DomainName's name.","MATCH (n:AS {asn:12389})-[:ORIGINATE]-(p:Prefix)--(i:IP)--(:HostName)--(d:DomainName)-[r:RANK]-(:Ranking) WHERE r.rank<1000 RETURN DISTINCT d.name"
"68.2","Medium general prompt","Get the name of top 1k domain names that are hosted by AS12389.","MATCH (n:AS {asn:12389})-[:ORIGINATE]-(p:Prefix)--(i:IP)--(:HostName)--(d:DomainName)-[r:RANK]-(:Ranking) WHERE r.rank<1000 RETURN DISTINCT d.name"
"69.1","Medium technical prompt","Find the DomainName nodes that are ranked in the top 1k and have Prefix nodes depending on the AS node with asn 12389. Return the name of these DomainNames.","MATCH (n:AS {asn:12389})-[:DEPENDS_ON]-(p:Prefix)--(i:IP)--(:HostName)--(d:DomainName)-[r:RANK]-(:Ranking) WHERE r.rank<1000 RETURN DISTINCT d.name"
"69.2","Medium general prompt","Get the name of domain names in the top 1k that depends on AS12389.","MATCH (n:AS {asn:12389})-[:DEPENDS_ON]-(p:Prefix)--(i:IP)--(:HostName)--(d:DomainName)-[r:RANK]-(:Ranking) WHERE r.rank<1000 RETURN DISTINCT d.name"
"70.1","Hard technical prompt","Find DomainName nodes ranked in the top 10k that resolves to IP addresses in prefixes originated by ASes that have the same OpaqueID as the AS node with asn 12389. Return the distinct DomainName’s name and the corresponding AS's asn.","MATCH (oid:OpaqueID)--(net:AS)--(pfx:Prefix)--(ip:IP)--(:HostName)--(dname:DomainName)-[r]-(:Ranking), (net)-[{reference_org:'RIPE NCC'}]-(asname:Name) WHERE (oid:OpaqueID)--(:AS {asn:12389}) AND r.rank < 10000 AND net.asn<>12389 RETURN distinct dname.name, net.asn"
"70.2","Hard general prompt","Get the domain names in the top1k that are hosted by ASes that have the same OpaqueID than AS12389. Retrun disctinct DomainName's name and the corresponding AS's asn.","MATCH (oid:OpaqueID)--(net:AS)--(pfx:Prefix)--(ip:IP)--(:HostName)--(dname:DomainName)-[r]-(:Ranking), (net)-[{reference_org:'RIPE NCC'}]-(asname:Name) WHERE (oid:OpaqueID)--(:AS {asn:12389}) AND r.rank < 10000 AND net.asn<>12389 RETURN distinct dname.name, net.asn"
"71.1","Hard technical prompt","Find Ases that are connected to the same OpaqueID node than AS12389 and the prefixes originated by these ASes. Return the distinct ASes, their name given by the RIPE NCC, and the Country’s country_code.","MATCH (:AS {asn:12389})--(oid:OpaqueID)--(net:AS)-[:ORIGINATE]-(pfx:Prefix)--(cc:Country), (net)-[{reference_org:'RIPE NCC'}]-(asname:Name) WHERE net.asn<>12389 AND cc.country_code <> 'RU' RETURN distinct net.asn, asname.name, cc.country_code"
"71.2","Hard general prompt","Find the prefixes originated by ASes that have the same OpaqueID as AS12389. Return the distinct ASes, their name given by the RIPE NCC, and the prefix’s country code.","MATCH (:AS {asn:12389})--(oid:OpaqueID)--(net:AS)-[:ORIGINATE]-(pfx:Prefix)--(cc:Country), (net)-[{reference_org:'RIPE NCC'}]-(asname:Name) WHERE net.asn<>12389 AND cc.country_code <> 'RU' RETURN distinct net.asn, asname.name, cc.country_code"
"72.1","Easy technical prompt","Find all the IXPs where the AS with asn 12389 is member of and return the distinct IXPs PeeringDB id.","MATCH (n:AS {asn:12389})--(ix:IXP)--(pid:PeeringdbIXID) RETURN pid.id"
"72.2","Easy general prompt","Find all unique IXP peeringdb ids where AS12389 is member of.","MATCH (n:AS {asn:12389})--(ix:IXP)--(pid:PeeringdbIXID) RETURN pid.id"
"73.1","Easy technical prompt","Find all the Country nodes corresponding to the IXP nodes where AS node with asn 12389 is member of. Return only distinct country_code.","MATCH (n:AS {asn:12389})--(ix:IXP)--(cc:Country) RETURN distinct cc.country_code"
"73.2","Easy general prompt","Get the country codes of the IXPs' where AS12389 is member of.","MATCH (n:AS {asn:12389})--(ix:IXP)--(cc:Country) RETURN distinct cc.country_code"
"74.1","Hard technical prompt","Find the Country's country_code of ASes hosting all DomainName with a name that ends with '.ru' and that are ranked in the top 10k. Return the country_code and the corresponding number of distinct DomainName's name.","MATCH (:Ranking)-[r:RANK]-(domain:DomainName)--(:HostName)--(:IP)--(:Prefix)-[:ORIGINATE]-(:AS)-[:COUNTRY]-(cc:Country) WHERE r.rank<10000 AND domain.name ENDS WITH '.ru' RETURN cc.country_code, count(DISTINCT domain.name) AS dm_count ORDER BY dm_count DESC"
"74.2","Hard general prompt","Get the country codes of ASes hosting .ru domain names. Return the country code and corresponding number of unique domain names.","MATCH (:Ranking)-[r:RANK]-(domain:DomainName)--(:HostName)--(:IP)--(:Prefix)-[:ORIGINATE]-(:AS)-[:COUNTRY]-(cc:Country) WHERE r.rank<10000 AND domain.name ENDS WITH '.ru' RETURN cc.country_code, count(DISTINCT domain.name) AS dm_count ORDER BY dm_count DESC"
"75.1","Easy technical prompt","Find the total number of AS in Country with country_code 'JP'.","MATCH (a:AS)-[:COUNTRY]-(:Country {country_code:'JP'}) RETURN COUNT(DISTINCT a)"
"75.2","Easy general prompt","Get the number of ASes in Japan.","MATCH (a:AS)-[:COUNTRY]-(:Country {country_code:'JP'}) RETURN COUNT(DISTINCT a)"
"76.1","Hard technical prompt","Find the AS nodes associated with the country code 'JP' through the COUNTRY relationship. Match these AS nodes to Ranking nodes with a rank below 10 according to the 'ihr.country_dependency' reference_name and for the Ranking in Japan. If available find the names given by BGP.Tools for these ASes. Return the ASNs, their corresponding AS names, and the list of the distinct ranking names, ordered by asn.","MATCH (a:AS)-[:COUNTRY]-(:Country {country_code:'JP'}) MATCH (a:AS)-[ra:RANK {reference_name:'ihr.country_dependency'}]->(r:Ranking)--(:Country {country_code:'JP'}) WHERE ra.rank < 10 OPTIONAL MATCH (a)-[:NAME {reference_org:'BGP.Tools'}]-(n:Name) RETURN DISTINCT a.asn as ASN, n.name AS AS_Name, COLLECT(distinct r.name) as Rankings ORDER BY a.asn"
"76.2","Hard general prompt","Get the japanese ASes that appear in the top 10 of IHR’s rankings in Japan. Return the ASN, AS name according to BGP.Tools, and the list of unique ranking names, ordered by ASN.","MATCH (a:AS)-[:COUNTRY]-(:Country {country_code:'JP'}) MATCH (a:AS)-[ra:RANK {reference_name:'ihr.country_dependency'}]->(r:Ranking)--(:Country {country_code:'JP'}) WHERE ra.rank < 10 OPTIONAL MATCH (a)-[:NAME {reference_org:'BGP.Tools'}]-(n:Name) RETURN DISTINCT a.asn as ASN, n.name AS AS_Name, COLLECT(distinct r.name) as Rankings ORDER BY a.asn"
"77.1","Hard technical prompt","Find the AS nodes associated with the country code 'JP' through the COUNTRY relationship. Match these AS nodes to Ranking nodes with a rank below 10 according to the 'ihr.country_dependency' reference_name and for the Ranking in Japan. Optionally, from these AS nodes find direct dependencies which are other AS nodes that are connected with a PEERS_WITH relationship (with 'rel' equal to 1) and a DEPENDS_ON relationship (with 'hege' greater than 0.03). Ignore self-dependencies. Return the AS nodes, the DEPENDS_ON relationships, and the direct dependency AS nodes.","MATCH (a:AS)-[:COUNTRY]-(:Country {country_code:'JP'}) MATCH (a:AS)-[ra:RANK {reference_name:'ihr.country_dependency'}]->(:Ranking) WHERE ra.rank < 10 OPTIONAL MATCH (a)-[p:PEERS_WITH]-(b), (a)-[d:DEPENDS_ON]->(b) WHERE p.rel = 1 AND d.hege > 0.03 AND a<>b RETURN a, d, b"
"77.2","Hard general prompt","Get the japanese ASes that appear in the top 10 of IHR's rankings in Japan. Then find the direct dependencies of these nodes. Ignore self-dependencies. Return the AS, peering relationship, and depending AS.","MATCH (a:AS)-[:COUNTRY]-(:Country {country_code:'JP'}) MATCH (a:AS)-[ra:RANK {reference_name:'ihr.country_dependency'}]->(:Ranking) WHERE ra.rank < 10 OPTIONAL MATCH (a)-[p:PEERS_WITH]-(b), (a)-[d:DEPENDS_ON]->(b) WHERE p.rel = 1 AND d.hege > 0.03 AND a<>b RETURN a, d, b"
"78.1","Hard technical prompt","Find the AS nodes associated with the country code 'JP' through the COUNTRY relationship. Match these AS nodes to Ranking nodes with a rank below 10 according to the 'ihr.country_dependency' reference_name and for the Ranking in Japan. Find the japanese IXPs where these ASes are member of. Return the distinct ASNs and name of the IXPs.","MATCH (a)-[:COUNTRY {reference_org:'RIPE NCC'}]-(:Country {country_code:'JP'}) MATCH (a:AS)-[ra:RANK {reference_name:'ihr.country_dependency'}]->(:Ranking) WHERE ra.rank <= 10 OPTIONAL MATCH (a)-[m:MEMBER_OF]-(ix:IXP)-[:COUNTRY]-(:Country {country_code:'JP'}) RETURN DISTINCT a.asn, ix.name"
"78.2","Hard general prompt","Get the japanese ASes that appear in the top 10 of IHR’s rankings in Japan. Then find the IXPs where these ASes are member of. Return the distinct ASNs and IXP name.","MATCH (a)-[:COUNTRY {reference_org:'RIPE NCC'}]-(:Country {country_code:'JP'}) MATCH (a:AS)-[ra:RANK {reference_name:'ihr.country_dependency'}]->(:Ranking) WHERE ra.rank <= 10 OPTIONAL MATCH (a)-[m:MEMBER_OF]-(ix:IXP)-[:COUNTRY]-(:Country {country_code:'JP'}) RETURN DISTINCT a.asn, ix.name"
"79.1","Medium technical prompt","Find the DomainName nodes that are ranked in the 'Tranco top 1M' ranking. These DomainName nodes should have over 30 percent of their queries from the country with the country code 'JP'. Return the DomainName name, the rank, and the percentage of queries from Japan, ordered by rank.","MATCH (:Ranking {name: 'Tranco top 1M'})-[ra:RANK]-(dn:DomainName)-[q:QUERIED_FROM]-(c:Country) WHERE q.value > 30 AND c.country_code = 'JP' RETURN dn.name as domain_name, ra.rank as rank, q.value as per_query_JP ORDER BY rank"
"79.2","Medium general prompt","Find domain names for which at least 30 percent of the queries are made in japan. Return the domain name, domain name rank in Tranco, and the percentage of queries made in japan.","MATCH (:Ranking {name: 'Tranco top 1M'})-[ra:RANK]-(dn:DomainName)-[q:QUERIED_FROM]-(c:Country) WHERE q.value > 30 AND c.country_code = 'JP' RETURN dn.name as domain_name, ra.rank as rank, q.value as per_query_JP ORDER BY rank"
"80.1","Medium technical prompt","For the DomainName node with the name 'yahoo.co.jp' find the corresponding Ips, Prefixes, and originating AS. Return the IP’s ip, Prefix’s prefix, and AS's asn.","MATCH p = (dn:DomainName)--(:HostName)--(i:IP)-[:PART_OF]-(pfx:Prefix)-[:ORIGINATE]-(a:AS) WHERE dn.name = 'yahoo.co.jp' RETURN i.ip, pfx.prefix, a.asn"
"80.2","Medium general prompt","Get the IP addresses, prefixes, and ASNs corresponding to yahoo.co.jp.","MATCH p = (dn:DomainName)--(:HostName)--(i:IP)-[:PART_OF]-(pfx:Prefix)-[:ORIGINATE]-(a:AS) WHERE dn.name = 'yahoo.co.jp' RETURN i.ip, pfx.prefix, a.asn"
"81.1","Hard technical prompt","Find the DomainName nodes that are ranked in the 'Tranco top 1M' with a rank below 10,000. These DomainName nodes should have at least 30 percent of their queries from the country with the country code 'JP'. Match these DomainName nodes to HostName nodes that resolve to IP nodes, which are part of Prefix nodes, originating from AS nodes. Return the HostName, IP, Prefix, and AS nodes, along with the RESOLVES_TO, PART_OF, and ORIGINATE relationships.","MATCH (:Ranking {name: 'Tranco top 1M'})-[ra:RANK]-(dn:DomainName)-[q:QUERIED_FROM]-(c:Country) WHERE q.value > 30 AND c.country_code = 'JP' AND ra.rank < 10000= MATCH (dn:DomainName)--(hn:HostName)-[r:RESOLVES_TO]-(ip:IP)-[p:PART_OF]-(pfx:Prefix)-[o:ORIGINATE]-(net:AS) RETURN hn, ip, pfx, net, r, p, o"
"81.2","Hard general prompt","Find domain names for which at least 30 percent of the queries are made in japan. Returns the corresponding hostname, ip, prefix, and originating AS with all their relationships.","MATCH (:Ranking {name: 'Tranco top 1M'})-[ra:RANK]-(dn:DomainName)-[q:QUERIED_FROM]-(c:Country) WHERE q.value > 30 AND c.country_code = 'JP' AND ra.rank < 10000= MATCH (dn:DomainName)--(hn:HostName)-[r:RESOLVES_TO]-(ip:IP)-[p:PART_OF]-(pfx:Prefix)-[o:ORIGINATE]-(net:AS) RETURN hn, ip, pfx, net, r, p, o"
"82.1","Hard technical prompt","Find the DomainName nodes that are ranked in the 'Tranco top 1M' with a rank below 10,000. These DomainName nodes should have at least 30 percent of their queries from the country with the country code 'JP'. Match these DomainName nodes to AuthoritativeNameServer nodes through the MANAGED_BY relationship, which resolve to IP nodes. These IP nodes should be part of Prefix nodes that originate from AS nodes. Return the domain names, the number of distinct AS nodes, and the list of the distinct ASNs, ordered by the number of AS nodes in descending order.","MATCH (:Ranking {name: 'Tranco top 1M'})-[ra:RANK]-(dn:DomainName)-[q:QUERIED_FROM]-(c:Country) WHERE q.value > 30 AND c.country_code = 'JP' AND ra.rank < 10000 MATCH (dn:DomainName)-[:MANAGED_BY]-(:AuthoritativeNameServer)-[:RESOLVES_TO]-(:IP)-[:PART_OF]-(:Prefix)-[:ORIGINATE]-(a:AS) RETURN dn.name, count(DISTINCT a) AS nb_asn, COLLECT(distinct a.asn) ORDER BY nb_asn DESC"
"82.2","Hard general prompt","Find the authoritative name servers of domain names for which at least 30 percent of the queries are made in japan and that are in the top10k of Tranco. For each domain name return the number of ASes hosting authoritative nameservers and the list of unique ASNs.","MATCH (:Ranking {name: 'Tranco top 1M'})-[ra:RANK]-(dn:DomainName)-[q:QUERIED_FROM]-(c:Country) WHERE q.value > 30 AND c.country_code = 'JP' AND ra.rank < 10000 MATCH (dn:DomainName)-[:MANAGED_BY]-(:AuthoritativeNameServer)-[:RESOLVES_TO]-(:IP)-[:PART_OF]-(:Prefix)-[:ORIGINATE]-(a:AS) RETURN dn.name, count(DISTINCT a) AS nb_asn, COLLECT(distinct a.asn) ORDER BY nb_asn DESC"
"83.1","Easy technical prompt","Find the AuthoritativeNameServer nodes that manage the  DomainName node with the name 'dmm.com'. Also find the corresponding IP, Prefix, and originating AS for these AuthoritativeNameServer. Return the IP's ip and AS's asn.","MATCH p = (dn:DomainName)-[:MANAGED_BY]-(ans:AuthoritativeNameServer)-[:RESOLVES_TO]-(ip:IP)-[:PART_OF]-(:Prefix)-[:ORIGINATE]-(a:AS) WHERE dn.name = 'dmm.com' RETURN ip.ip, a.asn"
"83.2","Easy general prompt","Get the IP address and originating ASN for the authoritative DNS name servers managing the domain name dmm.com.","MATCH p = (dn:DomainName)-[:MANAGED_BY]-(ans:AuthoritativeNameServer)-[:RESOLVES_TO]-(ip:IP)-[:PART_OF]-(:Prefix)-[:ORIGINATE]-(a:AS) WHERE dn.name = 'dmm.com' RETURN ip.ip, a.asn"